alt,bar_y,fri,hun,pat,price,rain,res,type,est,will_wait
Yes,No,No,Yes,Some,3,No,Yes,French,1,Yes
Yes,No,No,Yes,Full,1,No,No,Thai,3,No
No,Yes,No,No,Some,1,No,No,Burger,1,Yes
Yes,No,Yes,Yes,Full,1,Yes,No,Thai,2,Yes
Yes,No,Yes,No,Full,3,No,Yes,French,4,No
No,Yes,No,yes,Some,2,Yes,Yes,Italian,1,Yes
No,Yes,No,No,None,1,Yes,No,Burger,1,No
No,No,No,Yes,Some,2,Yes,Yes,Thai,1,Yes
No,Yes,Yes,No,Full,1,Yes,No,Burger,4,No
Yes,Yes,Yes,No,Full,3,No,Yes,Italian,2,No
No,No,No,No,None,1,No,No,Thai,1,No
Yes,Yes,Yes,Yes,Full,1,No,No,Burger,3,Yes
